,Title,Price,Description,Image,docno
34,"Médaille en bronze société d'agriculture de SAINT POL 62 Pas De Calais concours de 1906 "" cheval "" signé RASUMNY","± 16,51 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/581/812_001.jpg?v=2,35
35,médaille en bronze de la ville d' EPINAL ( imprimeur / imprimerie ) signée tschudin,"± 33,05 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/580/561_001.jpg?v=2,36
36,MEDAILLE BRONZE BANQUE SOCIETE GENERALE CENTENAIRE 1864 1964 GRAVEUR GUY CHARLES REVOL,"± 4,10 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/580/255_001.jpg?v=2,37
37,MEDAILLE en BRONZE syndicat general de la construction electrique ( ZAPATA ),"± 8,24 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/578/875_001.jpg?v=2,38
38,Médaille en bronze société d'agriculture de l'arrondissement de SAINT POL 62 Pas De Calais année 1899 signé A. Desaide,"± 16,51 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/578/485_001.jpg?v=2,39
39,collier parure de la confrérie LES GALANTS DE LA VERTE MARENNES d' Oléron en BRONZE sous forme d' huîtres ostréiculture,"± 62,04 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/578/494_001.jpg?v=2,40
40,Médaille en cuivre société d'agriculture de MONTREUIL SUR MER 62 Pas De Calais ( signé Desaide ) mauvais état,"± 12,37 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/577/888_001.jpg?v=2,41
41,MEDAILLE en BRONZE république Française ministère de l'agriculture concours agricoles,"± 4,10 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/577/879_001.jpg?v=2,42
42,Médaille en bronze Fondation Veuve Pommery Lycée de jeunes filles de REIMS signé Aimé ALLART ( PERIE 1908 ),"± 24,77 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/577/873_001.jpg?v=2,43
43,médaille en bronze argenté ( poids 153 grammes ) SAINT DENIS DE L'HOTEL 45 LOIRET signé PICHARD sur la tranche,"± 31,39 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/577/744_001.jpg?v=2,44
44,médaille bronze DRAGO - cinquantenaire 1921-1971 - FEDERATION NATIONALE DES MUTILES DU TRAVAIL,"± 4,10 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/787_001.jpg?v=2,45
45,médaille en bronze ( poids 163 grammes ) de 1975 SAINT DENIS DE L'HOTEL 45 LOIRET signé Annette LANDRY,"± 21,46 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/481_001.jpg?v=2,46
46,broche insigne - NOGENT LE ROI XIIe championnat de France de parcours de chasse tir au fusil compétition sportive ( 1970,"± 4,92 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/484_001.jpg?v=2,47
47,CHANTILLY tir au vol ( provenance de broche ? ou d'insigne ? je pense ) tir au fusil / compétition sportive,"± 3,27 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/478_001.jpg?v=2,48
48,médaille de VILLENEUVE SUR LOT championnat du monde parcours de chasse 1980 ( tir au fusil ) arbitres / Faude Gippingen,"± 6,58 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/472_001.jpg?v=2,49
49,"MEDAILLE DE LA NAISSANCE COMTE de CHAMBORD , futur HENRI V de FRANCE . 29 SEPT. 1820 par GAYRARD","± 8,24 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/576/196_001.jpg?v=2,50
50,médaille en bronze ( poids 76 grammes ) de 1977 SAINT DENIS DE L'HOTEL 45 LOIRET signé Annette LANDRY,"± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/575/596_001.jpg?v=2,51
51,médaille ville de SANCERRE 18 Cher pose de la première pierre du groupe scolaire ( école ) le 20 Juin 1886,"± 29,73 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/945_001.jpg?v=2,52
52,broche -  insigne - CFC - BOIS D'ARCY - championnat de France de parcours -  tir au fusil - compétition sportive 1978,"± 6,58 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/855_001.jpg?v=2,53
53,DWN - PAPUA NEW GUINEA 37 - 100 Kina 2008 UNC Replacement ZZZZ Low serial,"± 4,74 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/843_001.jpg?v=4,54
54,broche -  insigne de tireur - chasse ?  tir au fusil ? compétition sportive,"± 4,10 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/840_001.jpg?v=2,55
55,médaille  ville de CANNES  Fêtes du Centenaire de Lord Brougham et Vaux né à Edinburch en 1778 Cannes le 15 avril 1879,"± 13,20 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/792_001.jpg?v=2,56
56,médaille en bronze signé RAOUL BENARD,"± 23,11 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/574/780_001.jpg?v=2,57
